a + b
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
